AS400,,,,BI,,,,,,,
3840,18046PAX,,,3840,18046PAX,,0.00,,,,
7232,18054VEN,,,7232,18054VEN,,0.00,,,,
221182.5,18189BNK,,,221182.5,18189BNK,,0.00,,,,
14663.25,18190CVR,,,14663.25,18190CVR,,0.00,,,,
11995.65,18191CVR,,,11995.65,18191CVR,,0.00,,,,
5027.4,18193CVR,,,5027.4,18193CVR,,0.00,,,,
10188.84,18197CVR,,,10188.84,18197CVR,,0.00,,,,
2656,18201BNK,,,2656,18201BNK,,0.00,,,,
58299.04,18305VEN,,,58299.04,18305VEN,,0.00,,,,
22680,18331VEN,,,22680,18331VEN,,0.00,,,,
4660,18500GNS,,,4660,18500GNS,,0.00,,,,
576,18501GNS,,,576,18501GNS,,0.00,,,,
39936,18516TGI,,,39936,18516TGI,,0.00,,,,
60207,18517BNK,,,60207,18517BNK,,0.00,,,,
1664,18527VEN,,,1664,18527VEN,,0.00,,,,
36592.8,18550PAD,,,36592.8,18550PAD,,0.00,,,,
30910.88,18551PAD,,,30910.88,18551PAD,,0.00,,,,
25305,18648BFT,,,25305,18648BFT,,0.00,,,,
727300,18648GFG,,,727300,18648GFG,,0.00,,,,
38700,18673CVR,,,38700,18673CVR,,0.00,,,,
403.2,18716CGB,,,403.2,18716CGB,,0.00,,,,
17530.6,18889VEN,,,17530.6,18889VEN,,0.00,,,,
56621.76,19083DEN,,,56621.76,19083DEN,,0.00,,,,
714,19123UBA,,,714,19123UBA,,0.00,,,,
66325,19143SON,,,66325,19143SON,,0.00,,,,
114552,19291CCD,,,114552,19291CCD,,0.00,,,,
425520,19292CCD,,,425520,19292CCD,,0.00,,,,
7632,19298A&W,,,7632,19298A&W,,0.00,,,,
98017.92,19299CVR,,,98017.92,19299CVR,,0.00,,,,
9920,19307CPK,,,9920,19307CPK,,0.00,,,,
36648,19346SON,,,36648,19346SON,,0.00,,,,
15000,19357VEN,,,15000,19357VEN,,0.00,,,,
60987.5,19501JIB,,,60987.5,19501JIB,,0.00,,,,
335230,19510DAR,,,335230,19510DAR,,0.00,,,,
473060,19510GNS,,,473060,19510GNS,,0.00,,,,
22400,19512GNS,,,22400,19512GNS,,0.00,,,,
41886.72,19636LIT,,,41886.72,19636LIT,,0.00,,,,
21632,19717TGI,,,21632,19717TGI,,0.00,,,,
33575.36,19719UBA,,,33575.36,19719UBA,,0.00,,,,
58264.8,19720UBA,,,58264.8,19720UBA,,0.00,,,,
73007.06,19742DEN,,,73007.06,19742DEN,,0.00,,,,
65592,19752WHA,,,65592,19752WHA,,0.00,,,,
10692,19756WHA,,,10692,19756WHA,,0.00,,,,
165250,19796POP,,,165250,19796POP,,0.00,,,,
18252,19798BNK,,,18252,19798BNK,,0.00,,,,
432,19823VEN,,,432,19823VEN,,0.00,,,,
14875,19846LIT,,,14875,19846LIT,,0.00,,,,
75000,19879CCD,,,75000,19879CCD,,0.00,,,,
53874,19883KFC,,,53874,19883KFC,,0.00,,,,
79793.75,19915JIB,,,79793.75,19915JIB,,0.00,,,,
47052,19923VEN,,,47052,19923VEN,,0.00,,,,
1032.64,19929VEN,,,1032.64,19929VEN,,0.00,,,,
34398,19932CCD,,,34398,19932CCD,,0.00,,,,
19656,19933CCD,,,19656,19933CCD,,0.00,,,,
15456,19934CCD,,,15456,19934CCD,,0.00,,,,
289475.12,19948POP,,,289475.12,19948POP,,0.00,,,,
680932.35,19953TCB,,,680932.35,19953TCB,,0.00,,,,
54684,19961CCD,,,54684,19961CCD,,0.00,,,,
189810,19980JIB,,,189810,19980JIB,,0.00,,,,
183251.2,19982BNK,,,183251.2,19982BNK,,0.00,,,,
-2880,19984BRK,,,-2880,19984BRK,,0.00,,,,
108,20033SBY,,,108,20033SBY,,0.00,,,,
2657947.5,20041SBY,,,2657947.5,20041SBY,,0.00,,,,
1031420,20042SBY,,,1031420,20042SBY,,0.00,,,,
190464,20043CIC,,,190464,20043CIC,,0.00,,,,
121888,20066WEN,,,121888,20066WEN,,0.00,,,,
1520,20081GRY,,,1520,20081GRY,,0.00,,,,
9096,20083BNK,,,9096,20083BNK,,0.00,,,,
77531.78,20084SBY,,,77531.78,20084SBY,,0.00,,,,
2038.06,20101CGS,,,2038.06,20101CGS,,0.00,,,,
7824,20121DEN,,,7824,20121DEN,,0.00,,,,
109246.2,20124SBY,,,109246.2,20124SBY,,0.00,,,,
557640,20132UBA,,,557640,20132UBA,,0.00,,,,
112860,20154SEV,,,112860,20154SEV,,0.00,,,,
702975.78,20195SBY,,,702975.78,20195SBY,,0.00,,,,
153088,20213CCD,,,153088,20213CCD,,0.00,,,,
684,20214OPR,,,684,20214OPR,,0.00,,,,
1808,20315CLG,,,1808,20315CLG,,0.00,,,,
35941.92,20415UBA,,,35941.92,20415UBA,,0.00,,,,
48025,20441JIB,,,48025,20441JIB,,0.00,,,,
12.5,20444,,,1,20444-1,,11.50,,,,
13760,20463SLK,,,13760,20463SLK,,0.00,,,,
4200,20471PAD,,,4200,20471PAD,,0.00,,,,
53545.8,20490UBA,,,53545.8,20490UBA,,0.00,,,,
582213.5,20577SBY,,,582215.78,20577SBY,,-2.28,,,,
12838.5,20620CVR,,,12838.5,20620CVR,,0.00,,,,
54207,20621CVR,,,54207,20621CVR,,0.00,,,,
60879,20622DEN,,,60879,20622DEN,,0.00,,,,
1563.64,20625WCP,,,1563.64,20625WCP,,0.00,,,,
39248.95,20626WCP,,,39248.95,20626WCP,,0.00,,,,
285.64,20628SLK,,,285.64,20628SLK,,0.00,,,,
31104,20638WHA,,,31104,20638WHA,,0.00,,,,
31.96,20640CVR,,,31.96,20640CVR,,0.00,,,,
2100,20708RBT,,,2100,20708RBT,,0.00,,,,
27648,20719CIC,,,27648,20719CIC,,0.00,,,,
5376,20721CIC,,,5376,20721CIC,,0.00,,,,
11104,20722CIC,,,11104,20722CIC,,0.00,,,,
1152,20723CIC,,,1152,20723CIC,,0.00,,,,
24576,20724CIC,,,24576,20724CIC,,0.00,,,,
14208,20725CIC,,,14208,20725CIC,,0.00,,,,
19968,20726CIC,,,19968,20726CIC,,0.00,,,,
208294.9,20754SBY,,,208294.9,20754SBY,,0.00,,,,
8371.2,20776SMH,,,8371.2,20776SMH,,0.00,,,,
23048.2,20779SMH,,,23048.2,20779SMH,,0.00,,,,
8870,20785VCP,,,8870,20785VCP,,0.00,,,,
12960,20806WHA,,,12960,20806WHA,,0.00,,,,
6340.5,20839WHA,,,6340.5,20839WHA,,0.00,,,,
15562.15,20845SBY,,,15562.15,20845SBY,,0.00,,,,
6854.4,20851WHA,,,6854.4,20851WHA,,0.00,,,,
7644,20854WHA,,,7644,20854WHA,,0.00,,,,
5077.94,20886WHA,,,5077.94,20886WHA,,0.00,,,,
57820,20893BNK,,,57820,20893BNK,,0.00,,,,
13968,20906CCD,,,13968,20906CCD,,0.00,,,,
172735.68,20912SBY,,,172735.68,20912SBY,,0.00,,,,
41772,20938BNK,,,41772,20938BNK,,0.00,,,,
241348.8,20970WCP,,,241348.8,20970WCP,,0.00,,,,
3291.03,20999SBY,,,3291.03,20999SBY,,0.00,,,,
0,21000CCD,,,0,21000CCD,,0.00,,,,
146548.16,21005JIB,,,146548.16,21005JIB,,0.00,,,,
6412.5,21007WHA,,,6412.5,21007WHA,,0.00,,,,
385884.1,21009JIB,,,385884.1,21009JIB,,0.00,,,,
46070,21011JIB,,,46070,21011JIB,,0.00,,,,
12110.13,21012JIB,,,12110.13,21012JIB,,0.00,,,,
43689.6,21014JIB,,,43689.6,21014JIB,,0.00,,,,
8000,21058HSD,,,8000,21058HSD,,0.00,,,,
31752,21060BSC,,,31752,21060BSC,,0.00,,,,
32256,21068VEN,,,32256,21068VEN,,0.00,,,,
27206.4,21076BFT,,,27206.4,21076BFT,,0.00,,,,
14025,21077LIT,,,14025,21077LIT,,0.00,,,,
5400,21086VEN,,,5400,21086VEN,,0.00,,,,
376320,21108PHI,,,376320,21108PHI,,0.00,,,,
329278.8,21130PHI,,,329278.8,21130PHI,,0.00,,,,
